Origin,Destination,Travel_Time,Travel_Minutes,Status,Timestamp
"3081HS, Rotterdam",Maashorst,2h 24m,144,ok,2026-07-26T01:46:50.274862
"3081HS, Rotterdam",Dijk en Waard,1h 48m,108,ok,2026-07-26T01:47:07.607247
"3081HS, Rotterdam",Hollands Kroon,2h 38m,158,ok,2026-07-26T01:47:24.937713
"3081HS, Rotterdam",Het Hogeland,1h 21m,81,ok,2026-07-26T01:47:42.211134
"3081HS, Rotterdam",Eemsdelta,3h 58m,238,ok,2026-07-26T01:47:59.335922
"3081HS, Rotterdam",Midden-Groningen,3h 47m,227,ok,2026-07-26T01:48:16.786356
"3081HS, Rotterdam",Westerkwartier,2h 5m,125,ok,2026-07-26T01:48:34.160941
"3081HS, Rotterdam",Noardeast-Fryslân,4h 24m,264,ok,2026-07-26T01:48:51.669639
"3081HS, Rotterdam",Waadhoeke,3h 39m,219,ok,2026-07-26T01:49:08.815916
"3081HS, Rotterdam",Súdwest-Fryslân,3h 47m,227,ok,2026-07-26T01:49:26.252657
"3081HS, Rotterdam",De Friese Meren,3h 47m,227,ok,2026-07-26T01:49:43.678791
"3081HS, Rotterdam",Berg en Dal,2h 43m,163,ok,2026-07-26T01:50:00.927270
"3081HS, Rotterdam",Beekdaelen,3h 22m,202,ok,2026-07-26T01:50:18.100056
"3081HS, Rotterdam",Roerdalen,2h 39m,159,ok,2026-07-26T01:50:35.236242
"3081HS, Rotterdam",Peel en Maas,2h 41m,161,ok,2026-07-26T01:50:52.536910
"3081HS, Rotterdam",Horst aan de Maas,2h 22m,142,ok,2026-07-26T01:51:10.045262
"3081HS, Rotterdam",Maasgouw,3h 2m,182,ok,2026-07-26T01:51:27.149832
"3081HS, Rotterdam",Echt-Susteren,2h 38m,158,ok,2026-07-26T01:51:44.442972
"3081HS, Rotterdam",Sittard-Geleen,2h 54m,174,ok,2026-07-26T01:52:01.835027
"3081HS, Rotterdam",Valkenburg aan de Geul,3h 11m,191,ok,2026-07-26T01:52:19.589524
"3081HS, Rotterdam",Eijsden-Margraten,3h 20m,200,ok,2026-07-26T01:52:37.105379
"3081HS, Rotterdam",Goeree-Overflakkee,1h 11m,71,ok,2026-07-26T01:52:54.673567
"3081HS, Rotterdam",Schouwen-Duiveland,1h 17m,77,ok,2026-07-26T01:53:12.231868
"3081HS, Rotterdam",Noord-Beveland,1h 31m,91,ok,2026-07-26T01:53:29.606202
"3081HS, Rotterdam",Voorne aan Zee,1h 51m,111,ok,2026-07-26T01:53:46.953852
"3081HS, Rotterdam",Steenwijkerland,2h 48m,168,ok,2026-07-26T01:54:04.374734
"3081HS, Rotterdam",Zwartewaterland,3h 6m,186,ok,2026-07-26T01:54:21.777016
"3081HS, Rotterdam",Twenterand,3h 4m,184,ok,2026-07-26T01:54:38.982664
"3081HS, Rotterdam",Dinkelland,5h 4m,304,ok,2026-07-26T01:54:56.184428
"3081HS, Rotterdam",Hof van Twente,3h 6m,186,ok,2026-07-26T01:55:13.537635
